Scenario ID,Scenario,Owner,Status,Evidence link,Issue IDs,Decision note,Sign-off
PFX-UAT-001,Production plan + material demand,Production,NOT_RUN,,,,
PFX-UAT-002,Shortage -> Purchase Request traceability,Production/Purchasing,NOT_RUN,,,,
PFX-UAT-003,PO -> Receiving -> Inbound QC,Purchasing/QC/Warehouse,NOT_RUN,,,,
PFX-UAT-004,Warehouse issue NVL/bao bi to factory,Warehouse/Production,NOT_RUN,,,,
PFX-UAT-005,Factory dispatch pack and confirmation,Production,NOT_RUN,,,,
PFX-UAT-006,Factory material handover evidence,Warehouse/Production,NOT_RUN,,,,
PFX-UAT-007,Sample approval / rework,QC/Production,NOT_RUN,,,,
PFX-UAT-008,Mass production progress,Production,NOT_RUN,,,,
PFX-UAT-009,Finished goods receipt to QC hold,Warehouse/QC,NOT_RUN,,,,
PFX-UAT-010,Finished goods QC closeout full/partial/fail,QC,NOT_RUN,,,,
PFX-UAT-011,Factory claim within 3-7 days,QC/Production,NOT_RUN,,,,
PFX-UAT-012,Final payment readiness,Production/Finance,NOT_RUN,,,,
PFX-UAT-013,AP handoff + payment voucher/cash-out evidence,Finance,BLOCKED,,PFX-BLOCKER-001,BLOCKED_BY_S36,
PFX-UAT-014,Negative controls,QA/UAT Lead,NOT_RUN,,,,
